internalId,orderType,orderDate,warehouse,DealerName,6DGA-175T(H) Dimitris,6DGA-200(H) Typhoon,6DGA-225(H.D) Kingshuk Power,6DGA-230A+(H) Zodiac Power,CTC-440 SURJO,EV175T Gaston Plus,EV175T(H) Gaston Plus,EV180T Alpha Plus,EV180T(H) Alpha Plus,EV-250T(H.D) Sunrise Power,GSB100 Gaston,MODEL-400 Mishuk King,TRB-190 Zynga Power,TRB-200 Pongkhiraj,TRB210T Volt Master,TRB-215T Banskhali King
,RO,23-4-2025,Narayanganj Factory,Kalam Enterprise,,,,,,,,,2,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S A.P.L. Auto House,,,,,1,,,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Amir Auto House,,,,,,,1,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Atik Auto,,,,,,,,,9,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Bandhu Auto Centre,,,,,,,,,3,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Banskhali Enterprise-Joldi,,,,,,,,,,,,,,,,2
,RO,23-4-2025,Narayanganj Factory,M/S Bondhu Auto and CNG Workshop,,2,,,,,,,,,1,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Farhan Auto,,,,,,,,,,,,,,2,,
,RO,23-4-2025,Narayanganj Factory,M/S Hridoy Auto Servicing Center,,,,,,,1,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Islam Parts Store,1,,,,,1,,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S L D Poribahan & Trading,,,,,,,,,,,,1,,,,
,RO,23-4-2025,Narayanganj Factory,M/S M.R. Enterprise- Dinajpur,,,,,,,,,4,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Ma Tyre & Battery  Shop,,,,,,,4,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Mosabbir Traders,,,,,,,3,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Musulli Enterprise,,,,,,,,,,,,,2,,,
,RO,23-4-2025,Narayanganj Factory,M/S New Raju Battery,,,,,,,1,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Nobodhara Corporation,,,,,,,1,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Rakin Auto Parts,,,10,,,,1,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S S.S. Enterprise-Norshingdi,,,,,,,,,,,,,,4,,
,RO,23-4-2025,Narayanganj Factory,M/S Saiful Motors,,,,,,,,,1,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Sajib Enterprise,,,,,,,,,,,,,,,1,
,RO,23-4-2025,Narayanganj Factory,M/S Samar Auto,,,,,,,,,,1,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Sawda Auto and Battery,,,,,,,1,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Setu Cycle Mart,,1,,,,,,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Shah Mojidia Motor Parts,,,,1,,,,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Shekh Enterprise - Khulna,,,,,,,,1,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,M/S Sohan Motors,,,,,,,1,,,,,,,,,
,RO,23-4-2025,Narayanganj Factory,Tamim enterprise,,,,,,,1,,,,,,,,,
